videoId,title,description,publishedAt,channelId,channelTitle,thumbnails,duration,definition,caption,licensedContent,dimension,viewCount,likeCount,dislikeCount,favoriteCount,unique_id,video_url
0nJG5axbhk4,S&P Global: Transforming DevOps with AWS GenAI and Enterprise Support | Amazon Web Services,"Anuthama Chandrasekaran, Senior Director and Head of DevOps & SRE at S&P Global, shares how AWS Enterprise Support and Amazon Bedrock accelerated their GenAI journey, transforming infrastructure management and enhancing developer productivity in the financial markets.

Subscribe to AWS: https://go.aws/subscribe

Sign up for AWS: https://go.aws/signup 
AWS free tier: https://go.aws/free 
Explore more: https://go.aws/more
Contact AWS: https://go.aws/contact

Next steps:
Explore on AWS in Analyst Research:  https://go.aws/reports
Discover, deploy, and manage software that runs on AWS: https://go.aws/marketplace
Join the AWS Partner Network: https://go.aws/partners 
Learn more on how Amazon builds and operates software: https://go.aws/library 

Do you have technical AWS questions? 
Ask the community of experts on AWS re:Post: https://go.aws/3lPaoPb

Why AWS?
Amazon Web Services (AWS) is the world’s most comprehensive and broadly adopted cloud. Millions of customers—including the fastest-growing startups, largest enterprises, and leading government agencies—use AWS to be more agile, lower costs, and innovate faster.

#AWS #AmazonWebServices #CloudComputing",2025-07-17 00:07:21 UTC,UCd6MoB9NC6uYN2grvUNT-Zg,Amazon Web Services,https://i.ytimg.com/vi/0nJG5axbhk4/hqdefault.jpg,0:03:18,hd,False,False,2d,338,11,0,0,1,https://www.youtube.com/watch?v=0nJG5axbhk4
9NfWmOrSsmI,AI Agents and Tools in AWS Marketplace | Amazon Web Services,Learn more about AI Agents and Tools in AWS Marketplace: https://go.aws/4lZplrp.,2025-07-16 15:16:54 UTC,UCd6MoB9NC6uYN2grvUNT-Zg,Amazon Web Services,https://i.ytimg.com/vi/9NfWmOrSsmI/hqdefault.jpg,0:00:33,hd,False,False,2d,446,5,0,0,2,https://www.youtube.com/watch?v=9NfWmOrSsmI
IBaU9Ify-bE,Amazon Bedrock AgentCore - Accelerate your AI Agents into Production | Amazon Web Services,Tired of AI agents stuck in prototype? AgentCore provides fully-managed services to deploy & scale securely your AI agents from proof-of-concept to production-ready applications - no more heavy lifting of building complex infrastructure. Learn more about AgentCore at https://go.aws/bedrock-agentcore.,2025-07-16 15:15:56 UTC,UCd6MoB9NC6uYN2grvUNT-Zg,Amazon Web Services,https://i.ytimg.com/vi/IBaU9Ify-bE/hqdefault.jpg,0:00:31,hd,False,False,2d,1127,17,0,0,3,https://www.youtube.com/watch?v=IBaU9Ify-bE
usFIb9aEd1U,Amazon Bedrock AgentCore: Deploy & Operate AI Agents in Minutes | Amazon Web Services,"Join Swami Sivasubramanian, VP of Agentic AI at AWS, along with Nick Aldridge, Principal Developer, and  Nora Johnson, Generative AI Solutions Architect, as they unveil Amazon Bedrock AgentCore.

AgentCore is a comprehensive, modular, fully-managed set of services to securely deploy & operate production-ready AI agents at scale.

🔥 What You'll Learn
In this technical demo, discover how AgentCore helps you:
• Build production-ready AI agents with any open-source framework and model
• Deploy secure, serverless agent runtimes
• Implement enterprise-grade memory management 
• Secure agent identity and tool access 
• Monitor and optimize agent performance at scale

👨‍💻 Featured Demo
Watch an insurance underwriting use case that showcases how AgentCore transforms agent development from proof-of-concept to production-ready applications.

Learn more:
Amazon Bedrock AgentCore: https://go.aws/bedrock-agentcore
News Blog: https://go.aws/4lwr9Im 

Subscribe to AWS: https://go.aws/subscribe

Sign up for AWS: https://go.aws/signup 
AWS free tier: https://go.aws/free 
Explore more: https://go.aws/more
Contact AWS: https://go.aws/contact

Next steps:
Explore on AWS in Analyst Research:  https://go.aws/reports
Discover, deploy, and manage software that runs on AWS: https://go.aws/marketplace
Join the AWS Partner Network: https://go.aws/partners 
Learn more on how Amazon builds and operates software: https://go.aws/library 

Do you have technical AWS questions? 
Ask the community of experts on AWS re:Post: https://go.aws/3lPaoPb

Why AWS?
Amazon Web Services (AWS) is the world’s most comprehensive and broadly adopted cloud. Millions of customers—including the fastest-growing startups, largest enterprises, and leading government agencies—use AWS to be more agile, lower costs, and innovate faster.

#AWS #AmazonBedrock #AgentCore",2025-07-16 15:14:35 UTC,UCd6MoB9NC6uYN2grvUNT-Zg,Amazon Web Services,https://i.ytimg.com/vi/usFIb9aEd1U/hqdefault.jpg,0:06:57,hd,True,False,2d,9980,167,0,0,4,https://www.youtube.com/watch?v=usFIb9aEd1U
YDqTaZ4dpXc,Amazon Bedrock AgentCore - Accelerate your AI Agents into Production | Amazon Web Services,"Tired of AI agents stuck in prototype? AgentCore provides fully-managed services to deploy & scale securely your AI agents from proof-of-concept to production-ready applications - no more heavy lifting of building complex infrastructure.

⚡️Why AgentCore?
• Faster time to value: Accelerate from prototype to production with fully-managed services that eliminate infrastructure complexity, bringing groundbreaking agentic solutions to market faster.
• Flexibility and choice: Build agents your way using any open-source framework, model, or tool—while maintaining complete control over how your agents operate and integrate with existing systems.
• Security and Trust: Deploy with confidence using enterprise-grade security, complete session isolation, and comprehensive controls that help your agents operate reliably and securely at scale.

👨‍💻Fully-Managed Services:
• AgentCore Runtime: Secure, serverless environment for dynamic agentic workloads
• AgentCore Gateway: Transform existing APIs into agent-ready tools with a few lines of code
• AgentCore Memory: Maintain long-term and short-term context across interactions
• AgentCore Code Interpreter: Execute code securely across multiple languages
• AgentCore Browser Tool: Fast, secure, and serverless browser runtime for agents
• AgentCore Identity: Secure agent access across services. 
• AgentCore Observability: Comprehensive visibility into agent operations through intuitive dashboards

Focus on innovation, not infrastructure. Learn how you can transform your AI development process.

Learn more:
AgentCore: https://go.aws/bedrock-agentcore
News Blog: https://go.aws/4lwr9Im

Subscribe to AWS: https://go.aws/subscribe

Sign up for AWS: https://go.aws/signup 
AWS free tier: https://go.aws/free 
Explore more: https://go.aws/more
Contact AWS: https://go.aws/contact

Next steps:
Explore on AWS in Analyst Research:  https://go.aws/reports
Discover, deploy, and manage software that runs on AWS: https://go.aws/marketplace
Join the AWS Partner Network: https://go.aws/partners 
Learn more on how Amazon builds and operates software: https://go.aws/library 

Do you have technical AWS questions? 
Ask the community of experts on AWS re:Post: https://go.aws/3lPaoPb

Why AWS?
Amazon Web Services (AWS) is the world’s most comprehensive and broadly adopted cloud. Millions of customers—including the fastest-growing startups, largest enterprises, and leading government agencies—use AWS to be more agile, lower costs, and innovate faster.
#AWS #AmazonBedrock #AgentCore",2025-07-16 15:14:15 UTC,UCd6MoB9NC6uYN2grvUNT-Zg,Amazon Web Services,https://i.ytimg.com/vi/YDqTaZ4dpXc/hqdefault.jpg,0:01:48,hd,True,False,2d,2165,43,0,0,5,https://www.youtube.com/watch?v=YDqTaZ4dpXc
FsoEqk5IyS0,"Aggregate, Curate, Extend: How To Build an Enterprise Data Foundation | Amazon Web Services","In this episode, we catch up with Mai-Lan Tomsen Bukovec, VP of Technology at AWS, as she reveals three transformative approaches to enterprise data management: aggregate, curate, and extend. Drawing from her extensive experience leading AWS data services, Mai-Lan shares how organizations can build flexible, scalable data foundations that enable both innovation and governance. Join Mai-Lan as she discusses the intricacies of data infrastructure modernization with AWS Enterprise Strategist Tom Soderstrom. Together they explore how modern data infrastructure can accommodate rapid technological changes while maintaining security and compliance. This essential discussion provides leaders with practical insights for data-driven business transformation, from federating data ownership to implementing strategic data platform modernization that adapts to evolving business needs.

Learn more about Executive Insights: https://go.aws/3Iw0RHE
Subscribe to AWS: https://go.aws/subscribe

Sign up for AWS: https://go.aws/signup 
AWS free tier: https://go.aws/free 
Explore more: https://go.aws/more
Contact AWS: https://go.aws/contact

Next steps:
Explore on AWS in Analyst Research:  https://go.aws/reports
Discover, deploy, and manage software that runs on AWS: https://go.aws/marketplace
Join the AWS Partner Network: https://go.aws/partners 
Learn more on how Amazon builds and operates software: https://go.aws/library 

Do you have technical AWS questions? 
Ask the community of experts on AWS re:Post: https://go.aws/3lPaoPb

Why AWS?
Amazon Web Services (AWS) is the world’s most comprehensive and broadly adopted cloud. Millions of customers—including the fastest-growing startups, largest enterprises, and leading government agencies—use AWS to be more agile, lower costs, and innovate faster.

#AWS #AmazonWebServices #CloudComputing #DataGovernance #AWSExecutiveInsights",2025-07-16 00:06:18 UTC,UCd6MoB9NC6uYN2grvUNT-Zg,Amazon Web Services,https://i.ytimg.com/vi/FsoEqk5IyS0/hqdefault.jpg,0:26:00,hd,False,False,2d,431,10,0,0,6,https://www.youtube.com/watch?v=FsoEqk5IyS0
_XbXGkuSuvI,"Aggregate, Curate, Extend: How To Build an Enterprise Data Foundation | Amazon Web Services","In this episode, we catch up with Mai-Lan Tomsen Bukovec, VP of Technology at AWS, as she reveals three transformative approaches to enterprise data management: aggregate, curate, and extend. Drawing from her extensive experience leading AWS data services, Mai-Lan shares how organizations can build flexible, scalable data foundations that enable both innovation and governance. Join Mai-Lan as she discusses the intricacies of data infrastructure modernization with AWS Enterprise Strategist Tom Soderstrom. Together they explore how modern data infrastructure can accommodate rapid technological changes while maintaining security and compliance. This essential discussion provides leaders with practical insights for data-driven business transformation, from federating data ownership to implementing strategic data platform modernization that adapts to evolving business needs.

Learn more about Executive Insights: https://go.aws/3Iw0RHE
Subscribe to AWS: https://go.aws/subscribe

Sign up for AWS: https://go.aws/signup 
AWS free tier: https://go.aws/free 
Explore more: https://go.aws/more
Contact AWS: https://go.aws/contact

Next steps:
Explore on AWS in Analyst Research:  https://go.aws/reports
Discover, deploy, and manage software that runs on AWS: https://go.aws/marketplace
Join the AWS Partner Network: https://go.aws/partners 
Learn more on how Amazon builds and operates software: https://go.aws/library 

Do you have technical AWS questions? 
Ask the community of experts on AWS re:Post: https://go.aws/3lPaoPb

Why AWS?
Amazon Web Services (AWS) is the world’s most comprehensive and broadly adopted cloud. Millions of customers—including the fastest-growing startups, largest enterprises, and leading government agencies—use AWS to be more agile, lower costs, and innovate faster.

#AWS #AmazonWebServices #CloudComputing #DataGovernance #AWSExecutiveInsights",2025-07-16 00:00:46 UTC,UCd6MoB9NC6uYN2grvUNT-Zg,Amazon Web Services,https://i.ytimg.com/vi/_XbXGkuSuvI/hqdefault.jpg,0:00:16,hd,False,False,2d,1441,8,0,0,7,https://www.youtube.com/watch?v=_XbXGkuSuvI
X1_tEKQ4_R0,Introducing the new AWS Free Tier Program | Amazon Web Services,Learn more about the AWS Free Tier Program: https://go.aws/free,2025-07-15 23:50:37 UTC,UCd6MoB9NC6uYN2grvUNT-Zg,Amazon Web Services,https://i.ytimg.com/vi/X1_tEKQ4_R0/hqdefault.jpg,0:00:31,hd,False,False,2d,1136,15,0,0,8,https://www.youtube.com/watch?v=X1_tEKQ4_R0
pisDsIgXGUI,Introducing the new AWS Free Tier Program | Amazon Web Services,"AWS has introduced changes to the AWS Free Tier Program with the goal of giving you easy access to a broader range of AWS services and a straight-forward credit model with flexibility in how you use credits across services, so you can explore the benefits of AWS with zero risk of unexpected charges.

Learn more about the AWS Free Tier Program: https://go.aws/free

Subscribe to AWS: https://go.aws/subscribe

Sign up for AWS: https://go.aws/signup 
AWS free tier: https://go.aws/free 
Explore more: https://go.aws/more
Contact AWS: https://go.aws/contact

Next steps:
Explore on AWS in Analyst Research:  https://go.aws/reports
Discover, deploy, and manage software that runs on AWS: https://go.aws/marketplace
Join the AWS Partner Network: https://go.aws/partners 
Learn more on how Amazon builds and operates software: https://go.aws/library 

Do you have technical AWS questions? 
Ask the community of experts on AWS re:Post: https://go.aws/3lPaoPb

Why AWS?
Amazon Web Services (AWS) is the world’s most comprehensive and broadly adopted cloud. Millions of customers—including the fastest-growing startups, largest enterprises, and leading government agencies—use AWS to be more agile, lower costs, and innovate faster.

#AWSFreeTier #AWS #AmazonWebServices #CloudComputing #AWSSummit",2025-07-15 23:49:19 UTC,UCd6MoB9NC6uYN2grvUNT-Zg,Amazon Web Services,https://i.ytimg.com/vi/pisDsIgXGUI/hqdefault.jpg,0:01:27,hd,True,False,2d,2533,74,0,0,9,https://www.youtube.com/watch?v=pisDsIgXGUI
34zbNg7DdB8,Amazon S3 Vectors - Store and query vectors at scale in S3 | Amazon Web Services,Learn more about Amazon S3 Vectors: https://go.aws/s3-vectors.,2025-07-15 23:48:38 UTC,UCd6MoB9NC6uYN2grvUNT-Zg,Amazon Web Services,https://i.ytimg.com/vi/34zbNg7DdB8/hqdefault.jpg,0:00:30,hd,False,False,2d,849,7,0,0,10,https://www.youtube.com/watch?v=34zbNg7DdB8
